IPC_section_number,easy_question,hard_question
284,"[""EasyQuestionForSection284"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection284"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
285,"[""EasyQuestionForSection285"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection285"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
286,"[""EasyQuestionForSection286"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection286"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
287,"[""EasyQuestionForSection287"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection287"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
288,"[""EasyQuestionForSection288"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection288"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
289,"[""EasyQuestionForSection289"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection289"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
290,"[""EasyQuestionForSection290"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection290"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
291,"[""EasyQuestionForSection291"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection291"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
292,"[""EasyQuestionForSection292"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection292"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
293,"[""EasyQuestionForSection293"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection293"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
294,"[""EasyQuestionForSection294"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection294"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
295,"[""EasyQuestionForSection295"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection295"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
296,"[""EasyQuestionForSection296"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection296"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
297,"[""EasyQuestionForSection297"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection297"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
298,"[""EasyQuestionForSection298"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection298"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
299,"[""EasyQuestionForSection299"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection299"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
300,"[""EasyQuestionForSection300"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection300"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
301,"[""EasyQuestionForSection301"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection301"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
302,"[""EasyQuestionForSection302"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection302"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
303,"[""EasyQuestionForSection303"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection303"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
304,"[""EasyQuestionForSection304"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection304"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
305,"[""EasyQuestionForSection305"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection305"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
306,"[""EasyQuestionForSection306"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection306"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
307,"[""EasyQuestionForSection307"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection307"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
308,"[""EasyQuestionForSection308"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection308"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
309,"[""EasyQuestionForSection309"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection309"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
310,"[""EasyQuestionForSection310"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection310"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
311,"[""EasyQuestionForSection311"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection311"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
312,"[""EasyQuestionForSection312"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection312"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
313,"[""EasyQuestionForSection313"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection313"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
314,"[""EasyQuestionForSection314"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection314"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
315,"[""EasyQuestionForSection315"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection315"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
316,"[""EasyQuestionForSection316"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection316"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
317,"[""EasyQuestionForSection317"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection317"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
